"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID",rec_Title,Title,"Given name(s)","Person type","Family name","Boxer Challenged H-ID",Status,Conditions,Basis,"Location Description",City,Location
1140,"Beell
Sanchez","Los Sports",1925-01-23,1138,"Beell, John",,John,Boxer,Beell,535,,,,,,"POINT(-71.612688 -33.047238)"
1143,"Wilson
Lafourcade","Los Sports",1925-01-23,1142,"Wilson, Manuel",,Manuel,Boxer,Wilson,1141,,tiebreak,,,,
1144,"Acosta
Parra","Los Sports",1925-01-23,1145,"Acosta, Genaro",,Genaro,Boxer,Acosta,1146,,tiebreak,,,,
1147,"Varela
Vera","Los Sports",1925-02-20,439,"Varela, Faustino",,Faustino,Boxer,Varela,1149,,,,,,
1152,"Adasme
Contreras","Los Sports",1925-02-27,1150,"Adasme, Alejandro",,Alejandro,Boxer,Adasme,1151,,,,,,
1153,"González
Coll","Los Sports",1925-03-13,14,"González, Gilberto",,Gilberto,Boxer,González,1131,,,,,,"POINT(-70.669265 -33.44889)"
1156,"Romero
Martinez","Los Sports",1925-03-20,1154,"Romero, Elías",,Elías,Boxer,Romero,1155,,,,,,
1159,"Vargas
Jouglar","Los Sports",1925-03-20,1157,"Vargas, Julio",,Julio,Boxer,Vargas,1158,,,,,,
1161,"Caceres
Valenzuela","Los Sports",1925-03-20,1160,"Caceres, Andres",,Andres,Boxer,Caceres,339,,,,,,
1164,"Concha
Berbelegua","Los Sports",1925-03-20,1162,"Concha, Luis A.",,"Luis A.",Boxer,Concha,1163,,,,,,
1165,"Gonzalez
Duque Rodríguez","Los Sports",1925-03-20,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,156,,,,,,
1166,"Gonzalez
Murray","Los Sports",1925-03-20,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,420,,,,,,
1167,"Gonzalez
Suarez","Los Sports",1925-03-20,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,1021,,,,,,
1174,"Gazmuri
Araya","Los Sports",1925-04-10,1179,"Gazmuri, Rafael",,Rafael,Boxer,Gazmuri,1172,,,,,,
1175,"Gazmuri
Mardones","Los Sports",1925-04-10,1179,"Gazmuri, Rafael",,Rafael,Boxer,Gazmuri,1173,,,,,,
1180,"Salas
Keller","Los Sports",1925-04-10,1171,"Salas, Alfredo",,Alfredo,Boxer,Salas,1177,,,,,,
1188,"Santilly
García","La Prensa de Talagante",1928-05-06,1190,"Santilly, Atilio",,Atilio,Boxer,Santilly,1191,,,"agreement in La Prensa Talagante",,,
1196,"Vásquez
Molina","Los Sports",1925-04-17,1197,"Vásquez, Luis Alberto","Ñuñoa's Champion","Luis Alberto",Boxer,Vásquez,1010,,,,,,"POINT(-70.597841 -33.456668)"
1203,"Fuenzalida
Silva","Los Sports",1925-05-10,1198,"Fuenzalida, Humberto",,Humberto,Boxer,Fuenzalida,1201,re-match,,,,,
1204,"Fuenzalida
Mella","Los Sports",1925-05-10,1198,"Fuenzalida, Humberto",,Humberto,Boxer,Fuenzalida,1202,,,,,,
1207,"Saenz
Langford","Los Sports",1925-05-01,1205,"Saenz, Isidro",,Isidro,Boxer,Saenz,1206,,,,,,
1208,"Saenz
Bull","Los Sports",1925-05-01,1205,"Saenz, Isidro",,Isidro,Boxer,Saenz,982,,,,,,
1209,"Saenz
Bull","Los Sports",1925-05-01,1205,"Saenz, Isidro",,Isidro,Boxer,Saenz,982,,,,,,
1211,"Castro
Wilson","Los Sports",1925-05-01,1210,"Castro, Juan",,Juan,Boxer,Castro,1142,,,,,,
1216,"Marchant
Rojas","Los Sports",1925,1212,"Marchant, Aquiles",,Aquiles,Boxer,Marchant,1215,,,,,,"POINT(-70.956166 -32.840981)"
1217,"Fuentes
Parra","Los Sports",1925-05-29,1218,"Fuentes, Angel",,Angel,Boxer,Fuentes,1219,,,,,,
