"Challenge H-ID",rec_Title,Source,"Source year",Status,Conditions,Basis,"Location Description",City,Location
1242,"Rojas
Navarro","Los Sports",1927-01-07,,,"Basis in Los Sports",,,"POINT(-70.669265 -33.44889)"
1246,"Vargas
Arriagada","Los Sports",1927-01-07,,,,,,"POINT(-70.909988 -34.582309)"
1251,"Laverry
Molina","Los Sports",1927-03-11,,,,,,"POINT(-70.64658 -33.472148)"
1252,"Laverry
Sánchez","Los Sports",1927-03-11,,,,,,"POINT(-70.64658 -33.472148)"
1256,"Vargas
Cazzano","Los Sports",1927-05-20,,,,,,"POINT(-70.669265 -33.44889)"
1257,"Lucero
Lasseube","Los Sports",1927-05-20,,,,,,"POINT(-70.669265 -33.44889)"
1260,"Vermar
Ortiz","Los Sports",1927-09-02,,,,,,
1263,"Soto
Molina","Los Sports",1927-09-30,accepted,,,,,"POINT(-70.669265 -33.44889)"
1265,"Risso
Tobar","Los Sports",1928-01-27,,,,,,"POINT(-71.605512 -33.592281)"
1270,"Paiva
Cañas","Los Sports",1928-02-10,,,,,,"POINT(-70.669265 -33.44889)"
1271,"Paiva
Pedraza","Los Sports",1928-02-10,,,,,,"POINT(-70.669265 -33.44889)"
1272,"Coll
Cutiño","Los Sports",1928-02-17,,,,,,"POINT(-70.669265 -33.44889)"
1273,"Coll
Vera","Los Sports",1928-02-17,,,,,,"POINT(-70.669265 -33.44889)"
1274,"Coll
Celis","Los Sports",1928-02-17,,,,,,"POINT(-70.669265 -33.44889)"
1276,"Parra
Molina","Los Sports",1928-07-27,,,,,,
1282,"Galdames
Castellon","Los Sports",1928-12-07,,,,,,"POINT(-70.669265 -33.44889)"
1285,"Duque
Valdes","Los Sports",1925-07-10,,,"Chilean Boxing Federation",,,
1287,"Gonzalez
Ibarra","Los Sports",1925-07-10,Revenge,,,,,
1291,"Romero
Muñoz","Los Sports",1925-07-10,,,,,,
1295,"Nemesio
Guzman","Los Sports",1925-07-10,,,,,,"POINT(289.869073 -20.248795)"
1298,"Manriquez
Tellez","Los Sports",1925-07-31,,,,,,
1302,"Soto
Sanguinetti","Los Sports",1925-07-31,,,,,,"POINT(289.011712 -34.585725)"
1303,"Saavedra
Férnandez","Los Sports",1925-08-07,,,,,Rancagua,"POINT(289.258701 -34.16474)"
1309,"Osorio
Nuñez","Los Sports",1925-10-09,,,,,,
1311,"Vargas
Contreras","Los Sports",1925-08-14,,"middleweight championship",,,,
1312,"Ortega
Muñoz","Los Sports",1925-08-14,,,,,,
1317,"Olguín
Sedan","Los Sports",1925-11-27,,,,,,
1318,"Molina
Guzman","Los Sports",1925-11-27,,,,,,
1319,"Cutiño
Uzabeaga","Los Sports",1923-05-25,,,,,,
1322,"Zamora
Roberts","Los Sports",1925-06-21,,,,,Valparaíso,"POINT(-71.631098 -33.040765)"
1327,"Navarro
Jaña","Los Sports",1923-09-28,,,,,Santiago,"POINT(-70.650454 -33.437912)"
1329,"Navarro
Calda","Los Sports",1923-09-28,,,,,Santiago,"POINT(-70.650454 -33.437912)"
1330,"Vergara
Neira","Los Sports",1923-09-28,,,,,Santiago,"POINT(-70.650454 -33.437912)"
1331,"Román
Sánchez","Los Sports",1923-11-16,"tie break",,,,,
1334,"Murias
Mery",1923-11-28,"Los Sports",,"whatever Mary determines","230 box, Antofagasta",,Antofagasta,"POINT(-70.388546 -23.645295)"
1337,"Aguilera
Moreno","Los Sports",1928-12-29,,,,,,
1338,"Carvajal
Baeza","Semanario La Prensa Los Andes",1927-12-04,,,,,"San Felipe",
1340,"Huerta
Medalla","Semanario La Prensa. Los Andes",1928-01-22,"not accepted","Whatever the boxer challenged desires","Through this press",,,
1341,"Mac-Conell
Rios","Semanario La Prensa. Los Andes",1928-02-02,"not accepted","whatever conditions the chellenged boxer decide","through this newspaper",,"San Felipe",
