"Boxer H-ID",Cathegory,Weight,Weight_kgs,"Family name","Given name(s)","Job Affiliation",Age,City,Gender,"Source year",Source,"Club Affiliation H-ID","Club Affiliation RecordTitle"
961,Amateur,,,Bruna,Luis,,,,Male,1928-03-15,"Semanario La Prensa. Los Andes",,
976,Amateur,,55,Ortiz,Rafael,,,"Los Andes",Male,1928-04-08,"Semanario La Prensa. Los Andes",,
982,Professional,,,Bull,John,,,,,"Semanario La Prensa. Los Andes.",1928-04-29,,
983,Professional,,,Rojas,Manuel,,,,,"Semanario La Prensa. Los Andes.",1928-04-29,,
987,Amateur,,46,Iñiguez,Mario,,,Antofagasta,Male,1924-02-01,"Los Sports",,
989,Amateur,,43,Romero,,,,Antofagasta,Male,1924-02-01,"Los Sports",,
995,Amateur,,,Bustillos,Luis,,,Concepción,Male,1924-02-08,"Los Sports",,
999,Amateur,,,Salas,Juan,,,,Male,1924-02-22,"Los Sports",227,"Santiago Wanderers Boxing Club"
1001,Professional,,49,Inostroza,Ruperto,,,,Male,1924-03-07,"Los Sports",,
1003,,,57,Alley,Juan,,,,,1924-03-07,"Los Sports",,
1006,Amateur,,,Henriquez,,,,,Male,1924-03-07,"Los Sports",,
1008,Amateur,,,Leiva,,,,,Male,1924-03-07,"Los Sports",,
1010,Professional,,,Molina,Erasmo,,,Santiago,Male,1924-03-14,"Los Sports",,
1012,Professional,,,Parra,Routier,,,Santiago,Male,1924-03-14,"Los Sports",,
1014,Amateur,,48,Arratia,Jose,,,,Male,1924-03-21,"Los Sports",,
1016,Amateur,,,Garcia,Rafael,,,Talcahuano,Male,1924-04-04,"Los Sports",,
1019,Amateur,lightweight,,Silva,Cristino,,,,Male,1924-04-18,"Los Sports",,
1021,Professional,,,Suarez,Pablo,,,,,1924-04-25,"Los Sports",,
1024,Professional,,,Cipry,John,,,,Male,"Los Sports",1924-04-25,,
1026,Professional,,,Saavedra,Clemente,,,Santiago,Male,1924-04-25,"Los Sports",,
1031,Amateur,,38,Valdivieso,Raul,,,,Male,1924-01-25,"Los Sports",,
1032,Amateur,,,Reyes,Oscar,,,,Male,1924-01-25,"Los Sports",,
1033,Amateur,,,Sáenz,Guillermo,,,,Male,1924-01-25,"Los Sports",,
1035,Amateur,,,Martinez,Alejandro,,,,Male,1924-01-25,"Los Sports",,
1038,Amateur,,,Ibarra,Daniel,,,,Male,1924-01-25,"Los Sports",,
1040,Amateur,,,Iglesias,Alvaro,,,,,1924-01-25,"Los Sports",,
1043,Amateur,,55,Mendez,Arturo,,,,Male,1924-01-25,"Los Sports",,
1048,Amateur,,,Sandoval,Luis,,,,Male,Vicentini,1924-02-23,,
1055,Amateur,,,Arias,Rolando,,,Santiago,Male,1935-06-14,AS,1052,"San Eugenio Boxing Club"
1056,Amateur,,,Bueno,Primitivo,,,Santiago,Male,1935-06-14,AS,1052,"San Eugenio Boxing Club"
1057,Amateur,,,Soto,Luis,,,Santiago,Male,1935-06-14,AS,1052,"San Eugenio Boxing Club"
1058,Amateur,,,Bastías,Luis,,,Santiago,Male,1935-06-14,AS,1052,"San Eugenio Boxing Club"
1059,Amateur,,,Romero,Mario,,,Santiago,Male,1935-06-14,AS,1052,"San Eugenio Boxing Club"
1060,Amateur,,,Encina,"Manuel Segundo",,,Santiago,Male,1935-06-14,AS,1052,"San Eugenio Boxing Club"
