source,target
"Arancibia, Alfredo","Carvajal, Arturo"
"Torres, Guillermo","Vargas, Armando"
Smith,"Pinto, Segundo"
"Gomez, Manuel","Cabrera Rocco, Mario"
"Tapia, Humberto","Barchetto, Luis"
"Lemus, Juan Segundo","Kaminsky, Angel"
"Arancibia, Alfredo","Rodriguez, Carlos"
"Diaz, Agustin","Rozas, Eduardo"
"Rozas, Jorge","Diaz, Agustin"
"Ortiz, Juvenal","Gatica, Fermin"
"Arancibia, Augusto","Devia, Francisco"
"Rojas, Hipolito","Guerrero, Luis"
"Leiva, Luis","Sanchez, Rafael"
"Parraguez, Armando","Gallardo, Pedro"
"Muñoz, Victor","Carretero, Felipe"
"Rojas, Guillermo","Estay, Eduardo"
"Guzman, Victor","Brosso, Juan"
"Stivens, Oscar","Valdes, Manuel"
"Gomez, Caupolican","Sanchez, Alejandro"
"Gonzalez, Luis R.","Sanchez, Alejandro"
"Sanchez, Guillermo","Sanchez, Rafael"
"Emparán, Nelson","Wittig, Hernán"
"Emparán, Nelson","Guerra, Carlos"
"Plata, Ricardo","Diaz, Carlos"
"Lopez, Jorge","Roca, Salvador"
"Ruiz, Julio","Alvarado, Enrique"
"Duque Rodríguez, José","Charol, Kid"
"Alviña, Santiago","Muñoz, Plutarco"
"Carmona, Luis","Coll, Lorenzo"
"Coll, Lorenzo","Cutiño, Eduardo"
"Cifuentes, Jose","Araos, Joaquin"
"Cifuentes, Jose","Rojas, Manuel"
"Cifuentes, Jose","Alviña, Santiago"
