"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID","Boxers challenging RecordTitle","Boxer Challenged H-ID","Boxer Challenged RecordTitle",Status,Conditions,Basis,"Location Description",City,Location
1147,"Varela
Vera","Los Sports",1925-02-20,439,"Varela, Faustino",1149,"Vera, Juan",,,,,,
1152,"Adasme
Contreras","Los Sports",1925-02-27,1150,"Adasme, Alejandro",1151,"Contreras, Humberto",,,,,,
1153,"González
Coll","Los Sports",1925-03-13,14,"González, Gilberto",1131,"Coll, Lorenzo",,,,,,"POINT(-70.669265 -33.44889)"
1156,"Romero
Martinez","Los Sports",1925-03-20,1154,"Romero, Elías",1155,"Martinez, Erasmo",,,,,,
1159,"Vargas
Jouglar","Los Sports",1925-03-20,1157,"Vargas, Julio",1158,"Jouglar, Jorge",,,,,,
1161,"Caceres
Valenzuela","Los Sports",1925-03-20,1160,"Caceres, Andres",339,"Valenzuela, Oscar",,,,,,
1164,"Concha
Berbelegua","Los Sports",1925-03-20,1162,"Concha, Luis A.",1163,Berbelegua,,,,,,
1165,"Gonzalez
Duque Rodríguez","Los Sports",1925-03-20,639,"Gonzalez, Johnston",156,"Duque Rodríguez, José",,,,,,
1166,"Gonzalez
Murray","Los Sports",1925-03-20,639,"Gonzalez, Johnston",420,"Murray, Willie",,,,,,
1167,"Gonzalez
Suarez","Los Sports",1925-03-20,639,"Gonzalez, Johnston",1021,"Suarez, Pablo",,,,,,
1174,"Gazmuri
Araya","Los Sports",1925-04-10,1179,"Gazmuri, Rafael",1172,"Araya, Segundo",,,,,,
1175,"Gazmuri
Mardones","Los Sports",1925-04-10,1179,"Gazmuri, Rafael",1173,"Mardones, Arturo",,,,,,
1180,"Salas
Keller","Los Sports",1925-04-10,1171,"Salas, Alfredo",1177,"Keller, Pedro",,,,,,
1188,"Santilly
García","La Prensa de Talagante",1928-05-06,1190,"Santilly, Atilio",1191,"García, Oscar",,,"agreement in La Prensa Talagante",,,
1196,"Vásquez
Molina","Los Sports",1925-04-17,1197,"Vásquez, Luis Alberto",1010,"Molina, Erasmo",,,,,,"POINT(-70.597841 -33.456668)"
1203,"Fuenzalida
Silva","Los Sports",1925-05-10,1198,"Fuenzalida, Humberto",1201,"Silva, Filadelfio",re-match,,,,,
1204,"Fuenzalida
Mella","Los Sports",1925-05-10,1198,"Fuenzalida, Humberto",1202,"Mella, Alfredo",,,,,,
1207,"Saenz
Langford","Los Sports",1925-05-01,1205,"Saenz, Isidro",1206,"Langford, Kid",,,,,,
1208,"Saenz
Bull","Los Sports",1925-05-01,1205,"Saenz, Isidro",982,"Bull, John",,,,,,
1209,"Saenz
Bull","Los Sports",1925-05-01,1205,"Saenz, Isidro",982,"Bull, John",,,,,,
1211,"Castro
Wilson","Los Sports",1925-05-01,1210,"Castro, Juan",1142,"Wilson, Manuel",,,,,,
1216,"Marchant
Rojas","Los Sports",1925,1212,"Marchant, Aquiles",1215,"Rojas, Froilan",,,,,,"POINT(-70.956166 -32.840981)"
1217,"Fuentes
Parra","Los Sports",1925-05-29,1218,"Fuentes, Angel",1219,"Parra, Humberto",,,,,,
1222,"Diaz
Keller","Los Sports",1925-06-05,1223,"Diaz, Heriberto",1177,"Keller, Pedro",,,,,,
1227,"Cepeda
Lagos","Los Sports",1925-06-05,1225,"Cepeda, Luis",1226,"Lagos, Luis",,,"conditions in the Centro Manuel Concha","Centro Manuel Concha",,
1229,"Martínez
Pozo","Los Sports",1925-06-05,1228,"Martínez, Francisco",530,"Pozo, Carlos",,,,,,"POINT(-73.116981 -36.724783)"
1230,"Martínez
Pinto","Los Sports",1925-06-05,1228,"Martínez, Francisco",232,"Pinto, Juan",,,,,,"POINT(-73.116981 -36.724783)"
1233,"Parisi
Gomez","Los Sports",1926-04-02,738,"Parisi, Antonino",1232,"Gomez, Venerando","not accepted",,,,,"POINT(-70.669265 -33.44889)"
1234,"Parisi
Cano","Los Sports",1926-04-02,738,"Parisi, Antonino",539,"Cano, Gustavo","not accepted",,,,,"POINT(-70.669265 -33.44889)"
1242,"Rojas
Navarro","Los Sports",1927-01-07,1215,"Rojas, Froilan",1240,"Navarro, Jorge",,,"Basis in Los Sports",,,"POINT(-70.669265 -33.44889)"
1246,"Vargas
Arriagada","Los Sports",1927-01-07,1157,"Vargas, Julio",1245,"Arriagada, Edgardo",,,,,,"POINT(-70.909988 -34.582309)"
1251,"Laverry
Molina","Los Sports",1927-03-11,1249,"Laverry, Jim",1010,"Molina, Erasmo",,,,,,"POINT(-70.64658 -33.472148)"
1252,"Laverry
Sánchez","Los Sports",1927-03-11,1249,"Laverry, Jim",1250,"Sánchez, Domingo",,,,,,"POINT(-70.64658 -33.472148)"
1256,"Vargas
Cazzano","Los Sports",1927-05-20,178,"Vargas, Armando",1253,"Cazzano, Miguel",,,,,,"POINT(-70.669265 -33.44889)"
1257,"Lucero
Lasseube","Los Sports",1927-05-20,1255,"Lucero, Luis",146,"Lasseube, Enrique",,,,,,"POINT(-70.669265 -33.44889)"
1260,"Vermar
Ortiz","Los Sports",1927-09-02,1258,"Vermar, Raul",1259,"Ortiz, Clodomiro",,,,,,
1263,"Soto
Molina","Los Sports",1927-09-30,1262,"Soto, Gerardo",1261,"Molina, Alfredo",accepted,,,,,"POINT(-70.669265 -33.44889)"
1265,"Risso
Tobar","Los Sports",1928-01-27,263,"Risso, Manuel",727,"Tobar, Marcos",,,,,,"POINT(-71.605512 -33.592281)"
1270,"Paiva
Cañas","Los Sports",1928-02-10,1267,"Paiva, Victor M.",1268,"Cañas, Jose",,,,,,"POINT(-70.669265 -33.44889)"
1271,"Paiva
Pedraza","Los Sports",1928-02-10,1267,"Paiva, Victor M.",1269,"Pedraza, Domingo",,,,,,"POINT(-70.669265 -33.44889)"
1272,"Coll
Cutiño","Los Sports",1928-02-17,1131,"Coll, Lorenzo",660,"Cutiño, Eduardo",,,,,,"POINT(-70.669265 -33.44889)"
1273,"Coll
Vera","Los Sports",1928-02-17,1131,"Coll, Lorenzo",151,"Vera, Teobaldo",,,,,,"POINT(-70.669265 -33.44889)"
1274,"Coll
Celis","Los Sports",1928-02-17,1131,"Coll, Lorenzo",1275,"Celis, Manuel",,,,,,"POINT(-70.669265 -33.44889)"
1276,"Parra
Molina","Los Sports",1928-07-27,1012,"Parra, Routier",1261,"Molina, Alfredo",,,,,,
1282,"Galdames
Castellon","Los Sports",1928-12-07,1279,"Galdames, Robinson",1283,"Castellon, Manuel",,,,,,"POINT(-70.669265 -33.44889)"
1285,"Duque
Valdes","Los Sports",1925-07-10,1284,"Duque, Oscar",833,"Valdes, Mario",,,"Chilean Boxing Federation",,,
1287,"Gonzalez
Ibarra","Los Sports",1925-07-10,639,"Gonzalez, Johnston",935,"Ibarra, Carlos",Revenge,,,,,
1291,"Romero
Muñoz","Los Sports",1925-07-10,1289,"Romero, Jose P.",1290,"Muñoz, Benjamin",,,,,,
1295,"Nemesio
Guzman","Los Sports",1925-07-10,1292,"Nemesio, Oscar",921,"Guzman, Humberto",,,,,,"POINT(289.869073 -20.248795)"
1298,"Manriquez
Tellez","Los Sports",1925-07-31,1296,"Manriquez, Enrique",1297,Tellez,,,,,,
1302,"Soto
Sanguinetti","Los Sports",1925-07-31,1299,"Soto, Arturo",1301,"Sanguinetti, Enrique",,,,,,"POINT(289.011712 -34.585725)"
1303,"Saavedra
Férnandez","Los Sports",1925-08-07,1026,"Saavedra, Clemente",276,"Férnandez, Luis",,,,,Rancagua,"POINT(289.258701 -34.16474)"
