"Boxer H-ID",rec_Title
1393,"Toro H, Francisco"
1397,"García, Jose"
1400,"Castro, Oscar"
1403,"Rosas, Jeronimo"
1402,"Moraga, Tomas"
1407,"Fernandez, Alfredo"
1406,"Vicuña, Alfonso"
1409,"Carvajal, Arturo"
546,"Peña, Luis"
1411,"Toro, Luis"
1414,"Angulo, Luis"
1417,"Collao, Julio"
1415,"Vergara, Pedro"
1418,"Nieto, Santiago"
1425,"Alvarez, Alfredo"
1429,"Torrejón, Santiago"
1430,"Jimenez, Evaristo"
1434,"Toro, Guillermo"
1435,"Castro, Roberto"
1443,Smith
1442,"Pinto, Segundo"
1445,"Gomez, Manuel"
1428,"Tapia, Humberto"
1449,"Barchetto, Luis"
1452,"Lemus, Juan Segundo"
1451,"Kaminsky, Angel"
1455,"Rodriguez, Carlos"
1458,"Diaz, Agustin"
1459,"Rozas, Eduardo"
1460,"Rozas, Jorge"
731,"Ortiz, Juvenal"
1466,"Gatica, Fermin"
1471,"Arancibia, Augusto"
1468,"Devia, Francisco"
1472,"Rojas, Hipolito"
1475,"Guerrero, Luis"
1473,"Leiva, Luis"
1476,"Sanchez, Rafael"
1482,"Muñoz, Victor"
1481,"Carretero, Felipe"
297,"Rojas, Guillermo"
1484,"Estay, Eduardo"
1487,"Guzman, Victor"
1486,"Brosso, Juan"
1489,"Stivens, Oscar"
1490,"Valdes, Manuel"
1494,"Gomez, Caupolican"
1495,"Sanchez, Alejandro"
1499,"Gonzalez, Luis R."
1503,"Sanchez, Guillermo"
1504,"Emparán, Nelson"
1506,"Wittig, Hernán"
1508,"Guerra, Carlos"
1512,"Plata, Ricardo"
1514,"Diaz, Carlos"
409,"Lopez, Jorge"
1516,"Roca, Salvador"
1536,"Ruiz, Julio"
1537,"Alvarado, Enrique"
1539,"Charol, Kid"
1543,"Alviña, Santiago"
448,"Muñoz, Plutarco"
1545,"Carmona, Luis"
1549,"Cifuentes, Jose"
561,"Araos, Joaquin"
983,"Rojas, Manuel"
